Galaxy,Delta_BIC,Selected_Model
F568-3,34.34519314533526,ISUT
F571-8,-400.7139383964536,DarkMatter
NGC0055,339.32591645294787,ISUT
NGC0247,20.521421079340044,ISUT
NGC0300,0.71972610159753,ISUT
NGC0801,-6.485793076307303,DarkMatter
NGC1003,98.448791805685,ISUT
NGC2403,-135.33946684795887,DarkMatter
NGC2683,-8.304877800334445,DarkMatter
NGC2841,23.188168172000033,ISUT
NGC2903,-90.54147797292677,DarkMatter
NGC2915,-44.307215523680085,DarkMatter
NGC2998,-23.37274992828082,DarkMatter
NGC3109,604.9868766900445,ISUT
NGC3198,-27.02825378564144,DarkMatter
NGC3521,-4.681695343328563,DarkMatter
NGC3726,3.572456299010561,ISUT
NGC3741,59.1066112277051,ISUT
NGC3769,-4.076172917105836,DarkMatter
NGC3877,-51.57390005901934,DarkMatter
NGC3893,-3.500963726743567,DarkMatter
NGC3917,39.345818945564886,ISUT
NGC3949,-1.5411976271124335,DarkMatter
NGC3953,-13.220682449946267,DarkMatter
NGC3972,-1.3557541158178168,DarkMatter
NGC3992,-10.19976274831155,DarkMatter
NGC4013,9.687986453640619,ISUT
NGC4051,-7.8847490234497535,DarkMatter
NGC4085,-8.428698755663202,DarkMatter
NGC4088,-1.919238797701599,DarkMatter
NGC4100,-13.668747835561376,DarkMatter
NGC4138,-2.392741715276193,DarkMatter
NGC4157,-0.07921733756546345,DarkMatter
NGC4183,-13.470746741712642,DarkMatter
NGC4217,1.3504205987741145,ISUT
NGC4559,-10.46479937278841,DarkMatter
NGC5033,-88.83983720822519,DarkMatter
NGC5055,-41.024061166551085,DarkMatter
NGC5585,14.848706837257481,ISUT
NGC5907,-54.05257859803703,DarkMatter
NGC5985,-134.26791095865536,DarkMatter
NGC6015,-95.14079493963806,DarkMatter
NGC6195,2.377078085830256,ISUT
NGC6503,-44.63593199537638,DarkMatter
NGC6674,44.90911292065414,ISUT
NGC6946,6.467465930048618,ISUT
NGC7331,3.015052552937121,ISUT
NGC7793,3.760331339332282,ISUT
UGC02885,0.15227870213425732,ISUT
UGC06399,6.980260657014185,ISUT
UGC06446,-2.066512904895921,DarkMatter
UGC06614,3.1590471753631313,ISUT
UGC06667,-5.847925508252281,DarkMatter
UGC06786,-147.2160103461535,DarkMatter
UGC06818,22.944728032852012,ISUT
UGC06917,-4.90573690738508,DarkMatter
UGC06923,-1.1470802423305866,DarkMatter
UGC06930,-6.4623954087871045,DarkMatter
UGC06983,-5.190631923219037,DarkMatter
UGC07089,24.660966224523783,ISUT
