Galaxy,Delta_BIC,Selected_Model
F568-3,40.11683567154584,ISUT
F571-8,-487.97757539762256,DarkMatter
NGC0055,273.65043739334885,ISUT
NGC0247,-17.928330689289368,DarkMatter
NGC0300,-5.731911159068936,DarkMatter
NGC0801,-328.02819462004635,DarkMatter
NGC1003,100.03451390199109,ISUT
NGC2403,-513.500909573291,DarkMatter
NGC2683,-9.91532873393039,DarkMatter
NGC2841,-6.148100979650579,DarkMatter
NGC2903,-290.5127150129392,DarkMatter
NGC2915,-65.28486975117022,DarkMatter
NGC2998,-68.61125910161081,DarkMatter
NGC3109,533.4766882031513,ISUT
NGC3198,-336.21324341632373,DarkMatter
NGC3521,-0.23956402143623023,DarkMatter
NGC3726,1.1574903057340151,ISUT
NGC3741,46.40055691144732,ISUT
NGC3769,0.8065116241361387,ISUT
NGC3877,-46.87813057030087,DarkMatter
NGC3893,-0.8805977927659576,DarkMatter
NGC3917,41.46961434141619,ISUT
NGC3949,2.3068041448260956,ISUT
NGC3953,-12.97838978690044,DarkMatter
NGC3972,2.948860245877505,ISUT
NGC3992,-19.1190892142726,DarkMatter
NGC4013,16.44252927187207,ISUT
NGC4051,-4.891170784076218,DarkMatter
NGC4085,-5.5314440247142755,DarkMatter
NGC4088,-0.5736623750102581,DarkMatter
NGC4100,-16.956403200017782,DarkMatter
NGC4138,1.09721924288689,ISUT
NGC4157,4.634476904100692,ISUT
NGC4183,-49.11326134119152,DarkMatter
NGC4217,6.583724138094361,ISUT
NGC4559,-37.50941308625022,DarkMatter
NGC5033,-113.54068635144088,DarkMatter
NGC5055,-345.3655258350742,DarkMatter
NGC5585,-14.436732259257667,DarkMatter
NGC5907,-396.8372208539182,DarkMatter
NGC5985,-135.68627661828202,DarkMatter
NGC6015,-233.79031860884453,DarkMatter
NGC6195,7.89417030449696,ISUT
NGC6503,-45.462593368969124,DarkMatter
NGC6674,18.003843408062238,ISUT
NGC6946,-9.143064979906626,DarkMatter
NGC7331,2.6438388224217633,ISUT
NGC7793,9.647255453210917,ISUT
UGC02885,5.691881552018021,ISUT
UGC06399,11.374707751699315,ISUT
UGC06446,-5.635040329323326,DarkMatter
UGC06614,7.853340777231697,ISUT
UGC06667,-3.607519546477569,DarkMatter
UGC06786,-625.6807127211711,DarkMatter
UGC06818,19.59838532018297,ISUT
UGC06917,-0.1525316297366448,DarkMatter
UGC06923,2.2728867006555706,ISUT
UGC06930,-11.131995935556036,DarkMatter
UGC06983,-4.521477373011592,DarkMatter
UGC07089,29.619217224398795,ISUT
