Galaxy,Delta_BIC,Selected_Model
F568-3,34.34021325020065,ISUT
F571-8,-427.3228345889079,DarkMatter
NGC0055,338.1502819175989,ISUT
NGC0247,6.947929620727763,ISUT
NGC0300,-2.2446296188722457,DarkMatter
NGC0801,-33.48579307630713,DarkMatter
NGC1003,98.30625186529969,ISUT
NGC2403,-146.58325243960587,DarkMatter
NGC2683,-12.511666478081796,DarkMatter
NGC2841,21.044905353929053,ISUT
NGC2903,-106.72004986556476,DarkMatter
NGC2915,-56.99527795745283,DarkMatter
NGC2998,-33.40720278027682,DarkMatter
NGC3109,597.8458706205869,ISUT
NGC3198,-32.63711816884454,DarkMatter
NGC3521,-5.890142257310821,DarkMatter
NGC3726,0.6323474907010862,ISUT
NGC3741,57.582759341391736,ISUT
NGC3769,-4.115254710978405,DarkMatter
NGC3877,-51.88583305032854,DarkMatter
NGC3893,-4.575652399720397,DarkMatter
NGC3917,37.24985785961519,ISUT
NGC3949,-1.5724768895104582,DarkMatter
NGC3953,-16.053251899753803,DarkMatter
NGC3972,-1.5682747923661182,DarkMatter
NGC3992,-16.97192375393672,DarkMatter
NGC4013,9.577096817725177,ISUT
NGC4051,-8.530343772109426,DarkMatter
NGC4085,-9.14305794647856,DarkMatter
NGC4088,-3.628579856832406,DarkMatter
NGC4100,-17.586510239623486,DarkMatter
NGC4138,-2.682914179150364,DarkMatter
NGC4157,-0.48082842699512796,DarkMatter
NGC4183,-27.51519961922177,DarkMatter
NGC4217,0.9302050626849621,ISUT
NGC4559,-14.736523263037409,DarkMatter
NGC5033,-91.81663944214816,DarkMatter
NGC5055,-49.2710190838956,DarkMatter
NGC5585,10.354434636781605,ISUT
NGC5907,-73.52116963998358,DarkMatter
NGC5985,-137.44489317368047,DarkMatter
NGC6015,-102.20021527066916,DarkMatter
NGC6195,1.9281418161443682,ISUT
NGC6503,-45.53296385301282,DarkMatter
NGC6674,41.152077231484554,ISUT
NGC6946,3.0291590303661877,ISUT
NGC7331,2.20905229073945,ISUT
NGC7793,2.9071596087915808,ISUT
UGC02885,0.031524949835851857,ISUT
UGC06399,6.9802592735808755,ISUT
UGC06446,-5.01804520957157,DarkMatter
UGC06614,2.8934666449891893,ISUT
UGC06667,-7.206357297445976,DarkMatter
UGC06786,-174.2160103461237,DarkMatter
UGC06818,18.223109947899708,ISUT
UGC06917,-4.928219763521941,DarkMatter
UGC06923,-1.2591251992572392,DarkMatter
UGC06930,-10.893343838199714,DarkMatter
UGC06983,-7.019231293236885,DarkMatter
UGC07089,24.654468532323964,ISUT
