Galaxy,Set,Mode,n,ud_isut,ub_isut,zD,zi,V200_dm,c_dm,score_isut,score_dm,k_isut,k_dm,bic_style_isut,bic_style_dm,delta_bic_style,winner,success_isut,success_dm,message_isut,message_dm,nfev_isut,nfev_dm
F568-3,All65,none,18,0.40538503961395045,0.7,0.0,0.0,10.0,100.0,45.766376633708866,80.10246878946238,2,4,51.5471201495012,91.66395582104704,40.11683567154584,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,24,140
F571-8,All65,none,13,0.4702808572962404,0.7,0.0,0.0,137.37685497777758,1.0,538.3534543357429,45.245980223197286,2,4,543.483353050666,55.50577765304343,-487.97757539762256,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,150
NGC0055,All65,none,21,0.01,0.7,0.0,0.0,10.0,1.0,79.92110980979923,347.4825023277012,2,4,86.01015468524608,359.6605920785949,273.65043739334885,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,6,45
NGC0247,All65,none,26,0.5167271511933691,0.7,0.0,0.0,10.0,100.0,96.11155212169092,71.66702835635859,2,4,102.62774519773389,84.69941450844452,-17.928330689289368,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,18,180
NGC0300,All65,none,25,0.6267663739393776,0.7,0.0,0.0,89.55640010425168,1.0,33.312615846852594,21.142953038047256,2,4,39.75036749658899,34.01845633752006,-5.731911159068936,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,85
NGC0801,All65,none,13,0.3016281244203508,0.7,0.0,0.0,153.09970791770806,1.0,429.55445195623963,96.39635862127021,2,4,434.6843506711627,106.65615605111635,-328.02819462004635,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,85
NGC1003,All65,none,36,0.30603886096214394,0.7,0.0,0.0,95.73139721890757,1.0,164.62898284499005,257.4964588700689,2,4,171.79602072190227,271.83053462389336,100.03451390199109,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,21,115
NGC2403,All65,none,73,0.5665124675362776,0.7,0.0,0.0,123.6493710949743,2.3826276648414018,809.035369353376,286.9535408977883,2,4,817.6162882356729,304.11537866238183,-513.500909573291,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,135
NGC2683,All65,none,11,0.46745743060874057,1.0110727968649051,0.0,0.0,150.76464995312529,3.405394152066488,21.18170614956399,6.470586870036857,2,4,25.97749669516073,16.06216796123034,-9.91532873393039,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,48,170
NGC2841,All65,none,50,1.0964391795323807,0.8699279003595736,0.0,0.0,228.58442274853644,1.0,107.64542292831611,93.67327593780924,2,4,115.4694689391724,109.32136795952182,-6.148100979650579,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,36,210
NGC2903,All65,none,34,0.4862510686440232,0.7,0.0,0.0,170.76570713098226,3.5638962326422017,482.1405830313574,184.57514696918585,2,4,489.1933040805897,198.6805890676505,-290.5127150129392,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,190
NGC2915,All65,none,30,1.8092377703717213,0.7,0.0,0.0,81.80821808127962,1.8890228325019505,89.22369110408832,17.13642658959379,2,4,96.02608586741263,30.741216116242413,-65.28486975117022,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,24,75
NGC2998,All65,none,13,0.4030668333656433,0.7,0.0,0.0,209.83686471573395,3.1411150962616157,85.46620674521054,11.725048928676651,2,4,90.59610546013361,21.9848463585228,-68.61125910161081,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,39,175
NGC3109,All65,none,25,0.5010603484572345,0.7,0.0,0.0,47.412926344329414,1.0,123.6804062962308,650.7193428496457,2,4,130.1181579459672,663.5948461491186,533.4766882031513,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,12,115
