Galaxy,Set,Mode,n,ud_isut,ub_isut,zD,zi,V200_dm,c_dm,score_isut,score_dm,k_isut,k_dm,bic_style_isut,bic_style_dm,delta_bic_style,winner,success_isut,success_dm,message_isut,message_dm,nfev_isut,nfev_dm
F568-3,All65,smart,18,0.4006755752473897,0.7,0.027470783809410534,0.02739498530943102,10.0,100.0,45.76225553926174,80.10246878946238,4,4,57.32374257084639,91.66395582104704,34.34021325020065,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,60,140
F571-8,All65,smart,13,0.2177036235965814,0.7,3.0,2.674547215864403,137.37685497777758,1.0,472.56881481210513,45.245980223197286,4,4,482.8286122419513,55.50577765304343,-427.3228345889079,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,105,150
NGC0055,All65,smart,21,0.01,0.7,-0.5986010844992473,-0.6428418671715415,10.0,1.0,9.332220410102357,347.4825023277012,4,4,21.51031016099605,359.6605920785949,338.1502819175989,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,95,45
NGC0247,All65,smart,26,1.1192636793145534,0.7,-1.702466433637929,-1.7226362159965816,10.0,100.0,64.71909873563082,71.66702835635859,4,4,77.75148488771676,84.69941450844452,6.947929620727763,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,150,180
NGC0300,All65,smart,25,0.4244139201907112,0.7,0.9158239561487306,0.8429169048360496,89.55640010425168,1.0,23.3875826569195,21.142953038047256,4,4,36.2630859563923,34.01845633752006,-2.2446296188722457,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,120,85
NGC0801,All65,smart,13,1.0787430652057064,0.7,-3.0,-3.0,153.09970791770806,1.0,129.88215169757734,96.39635862127021,4,4,140.1419491274235,106.65615605111635,-33.48579307630713,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,90,85
NGC1003,All65,smart,36,0.3591115753548051,0.7,-0.21538598096477635,-0.2148003999322379,95.73139721890757,1.0,159.19020700476923,257.4964588700689,4,4,173.52428275859367,271.83053462389336,98.30625186529969,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,65,115
NGC2403,All65,smart,73,0.4011494332010846,0.7,0.022621083284845297,2.208046327759376,123.6493710949743,2.3826276648414018,433.53679333739416,286.9535408977883,4,4,450.6986311019877,304.11537866238183,-146.58325243960587,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,155,135
NGC2683,All65,smart,11,0.6099659336983222,0.9320994836252763,-0.679243551964561,-0.7364319514197681,150.76464995312529,3.405394152066488,18.982253348118654,6.470586870036857,4,4,28.573834439312137,16.06216796123034,-12.511666478081796,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,120,170
NGC2841,All65,smart,50,0.7815589606802436,0.85017216909992,0.8498547273943362,0.787156852860636,228.58442274853644,1.0,72.62837058388018,93.67327593780924,4,4,88.27646260559277,109.32136795952182,21.044905353929053,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,155,210
