Galaxy,Set,Mode,n,ud_isut,ub_isut,zD,zi,V200_dm,c_dm,score_isut,score_dm,k_isut,k_dm,bic_style_isut,bic_style_dm,delta_bic_style,winner,success_isut,success_dm,message_isut,message_dm,nfev_isut,nfev_dm
NGC6503,Golden12,none,31,0.4850336672487028,0.7,0.0,0.0,104.00001950458368,1.364741629544143,92.58920395157405,40.25863617363464,2,4,99.45717836054435,53.99458499157522,-45.462593368969124,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,220
NGC3198,Golden12,none,43,0.44013145648549284,0.7,0.0,0.0,127.90267274347728,1.0,401.0770425339675,57.34139888625663,2,4,408.5994427653546,72.38619934903087,-336.21324341632373,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,135
NGC2403,Golden12,none,73,0.5665124675362776,0.7,0.0,0.0,123.6493710949743,2.3826276648414018,809.035369353376,286.9535408977883,2,4,817.6162882356729,304.11537866238183,-513.500909573291,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,135
NGC2841,Golden12,none,50,1.0964391795323807,0.8699279003595736,0.0,0.0,228.58442274853644,1.0,107.64542292831611,93.67327593780924,2,4,115.4694689391724,109.32136795952182,-6.148100979650579,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,36,210
NGC2903,Golden12,none,34,0.4862510686440232,0.7,0.0,0.0,170.76570713098226,3.5638962326422017,482.1405830313574,184.57514696918585,2,4,489.1933040805897,198.6805890676505,-290.5127150129392,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,190
NGC3521,Golden12,none,41,0.5072573592011704,0.7,0.0,0.0,165.23966919782563,1.0,22.957056783394084,15.290348628549236,2,4,30.384200916802698,30.144636895366467,-0.23956402143623023,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,15,130
NGC5055,Golden12,none,28,0.3273622315056316,0.7,0.0,0.0,153.63362589503143,1.08839579184268,397.05597806706254,45.02604321163794,2,4,403.720387087413,58.35486125233876,-345.3655258350742,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,220
NGC7331,Golden12,none,36,0.3859962861200153,0.0,0.0,0.0,190.85033171118354,1.0,49.46523032997528,44.94203127548482,2,4,56.632268206887495,59.27610702930926,2.6438388224217633,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,48,220
NGC6946,Golden12,none,58,0.38698424486347166,0.5398377464275226,0.0,0.0,130.14203891099922,1.0,104.12207379869616,86.85812279769671,2,4,112.24295981978901,103.09989483988238,-9.143064979906626,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,39,255
NGC7793,Golden12,none,46,0.4495951868999284,0.7,0.0,0.0,82.53365585094699,1.0,36.977983488763726,38.96795614899646,2,4,44.63526628174192,54.28252173495284,9.647255453210917,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,210
UGC02885,Golden12,none,19,0.480879348816173,0.9932674232299773,0.0,0.0,260.3768249265964,1.0,13.832186752447061,13.635190346132202,2,4,19.72106471077994,25.412946262797963,5.691881552018021,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,30,150
