Galaxy,Best_Beta,Best_a0,Ups_Disk,Ups_Bulge,Chi2_Total,Chi2_Red,MAPE_Percent,BIC,N_Points
NGC6503,1.048,3970.7,0.436,0.727,82.6,3.059,2.54,96.33,31
NGC3198,0.6476,3449.4,0.612,0.843,97.84,2.509,8.88,112.89,43
NGC2403,1.274,4150.73,0.439,0.552,443.64,6.43,3.02,460.8,73
NGC2841,1.3864,3418.46,0.865,1.005,67.74,1.473,1.57,83.38,50
NGC2903,1.257,5295.71,0.356,0.629,252.95,8.432,11.11,267.05,34
NGC3521,1.1546,3998.25,0.482,0.64,20.13,0.544,3.0,34.99,41
NGC5055,0.7072,3594.16,0.383,0.946,89.81,3.742,1.67,103.14,28
NGC7331,1.0377,4349.79,0.315,0.561,39.76,1.243,1.73,54.1,36
NGC6946,0.6307,4076.36,0.468,0.513,79.16,1.466,2.06,95.41,58
NGC7793,0.7535,3108.98,0.571,0.797,33.76,0.804,11.86,49.07,46
UGC02885,0.9341,4431.7,0.431,0.997,13.37,0.891,1.97,25.15,19
