R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
5.03,214.0,6.0,126.46604781521403,156.77238674535815,3179.654324055666,0.8587133450260935,1.5367076282071528,1.2458189632580499,3702.8122859311643
7.55,220.0,6.0,146.66101748590182,184.81494657583994,2848.9343112582783,0.769397444769967,1.5879791462131776,1.2458189632580499,3702.8122859311643
10.07,235.0,4.0,160.5556657362175,205.70802345923897,2559.8929294935456,0.6913374840036745,1.6415389470115236,1.2458189632580499,3702.8122859311643
12.58,235.0,4.0,165.48979711752625,217.6554689596797,2177.016927662957,0.5879360765692966,1.729803298629539,1.2458189632580499,3702.8122859311643
15.1,230.0,2.0,160.7081856969333,220.262710377393,1710.405360927152,0.4619206237987914,1.8784773446765197,1.2458189632580499,3702.8122859311643
17.61,231.0,2.0,156.73541798202473,222.86140507014832,1395.0023424190802,0.3767413076054089,2.0217871676495336,1.2458189632580499,3702.8122859311643
20.13,232.0,2.0,153.661250971089,225.71160076587051,1172.9647317436663,0.3167767202783533,2.1576402377292054,1.2458189632580499,3702.8122859311643
22.65,225.0,7.0,150.19248017127887,227.71039303020956,995.9285253863134,0.2689654372084547,2.298631362016919,1.2458189632580499,3702.8122859311643
25.16,224.0,7.0,141.6895341936023,224.53222131029548,797.9302106518281,0.21549302233968598,2.5112028793999834,1.2458189632580499,3702.8122859311643
27.68,229.0,2.0,137.05893057367695,224.52575364289476,678.6542792630057,0.18328076792916367,2.6835991643021346,1.2458189632580499,3702.8122859311643
30.2,218.0,2.0,135.9406033898629,227.55374819012312,611.9154850993378,0.1652569554833527,2.8020094806016407,1.2458189632580499,3702.8122859311643
32.71,214.0,2.0,130.19747635803083,225.7452753224262,518.2324319779882,0.1399564417421354,3.006299237138522,1.2458189632580499,3702.8122859311643
35.23,213.0,2.0,127.72858744227933,226.88436792479203,463.0880513766676,0.12506387459503973,3.1552438608866353,1.2458189632580499,3702.8122859311643
37.75,211.0,2.0,122.46015086549582,224.9070954687699,397.257974834437,0.10728547497366224,3.373003048250145,1.2458189632580499,3702.8122859311643
40.26,217.0,2.0,119.73971897411484,225.2653359584002,356.12519374068546,0.09617695044757824,3.539258350258998,1.2458189632580499,3702.8122859311643
42.78,216.0,3.0,115.40623055104088,223.69864231740817,311.32767765310894,0.08407870926538688,3.7572334855958593,1.2458189632580499,3702.8122859311643
45.29,215.0,3.0,112.60664345410532,223.53082862722383,279.9791598586885,0.07561257180723671,3.940459148120072,1.2458189632580499,3702.8122859311643
47.81,217.0,5.0,109.90549440314619,223.28771603194136,252.65044342187824,0.06823204200272956,4.127535852819416,1.2458189632580499,3702.8122859311643
50.33,214.0,5.0,109.03524246774525,224.93023486758892,236.21466520961647,0.06379331355983509,4.2556106405071965,1.2458189632580499,3702.8122859311643
