R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
0.19,153.0,8.0,195.84783846139325,195.96656174166174,201875.6622631578,54.51955072909972,1.0012127707543255,1.5665065536047238,3702.8122859311643
0.56,130.0,9.0,147.7978600318692,148.94015823037788,39007.51326785713,10.534564070683837,1.0155173084112215,1.5665065536047238,3702.8122859311643
0.94,128.0,3.0,131.8595839141016,134.93406861129304,18496.755180851065,4.995326187916543,1.0471763597485508,1.5665065536047238,3702.8122859311643
1.22,134.0,3.0,127.14982213908127,131.87283103437906,13251.70268032787,3.5788210843627466,1.075670220076946,1.5665065536047238,3702.8122859311643
1.59,129.0,4.0,126.48103585122948,133.249888801073,10061.290836477985,2.7172025097534274,1.1098975254460766,1.5665065536047238,3702.8122859311643
1.96,131.0,7.0,126.23171637904635,135.06503701606152,8129.819499999999,2.1955797032674997,1.1448508452871775,1.5665065536047238,3702.8122859311643
2.34,138.0,8.0,129.45871569732182,140.01324757449106,7162.204730769231,1.9342608206151926,1.1697031774211064,1.5665065536047238,3702.8122859311643
2.71,139.0,5.0,135.94058157886482,147.68296891060746,6819.12978597786,1.8416082856501108,1.1802189454169985,1.5665065536047238,3702.8122859311643
2.99,143.0,3.0,136.8080153719072,149.85553276009787,6259.6766120401335,1.6905195642306188,1.1998376301095477,1.5665065536047238,3702.8122859311643
3.37,146.0,2.0,139.30966395049555,153.9069933687624,5758.807854599407,1.5552524432523889,1.2205461892486793,1.5665065536047238,3702.8122859311643
3.74,154.0,2.0,140.53349308972577,156.73224769607572,5280.658470588235,1.4261210298594118,1.2438185839366462,1.5665065536047238,3702.8122859311643
4.12,161.0,1.0,141.8531541066324,159.6337899592344,4884.057604368932,1.3190130169238956,1.2664021980588138,1.5665065536047238,3702.8122859311643
4.4,167.0,2.0,143.7084118971468,162.49202597404084,4693.660829545454,1.2675935119311932,1.278497040235424,1.5665065536047238,3702.8122859311643
4.77,173.0,2.0,146.48011407696268,166.49164552687336,4498.20205870021,1.2148069389828724,1.2918959964058936,1.5665065536047238,3702.8122859311643
5.15,176.0,4.0,149.34012638939342,170.55463410019058,4330.577349514563,1.1695373718966506,1.3042895627112088,1.5665065536047238,3702.8122859311643
5.52,178.0,5.0,153.5416336047002,175.66381757042714,4270.839356884058,1.1534042309168933,1.3089176365601227,1.5665065536047238,3702.8122859311643
5.89,180.0,3.0,153.75341345804327,177.33407581286275,4013.6013837011888,1.0839332576892617,1.330254875478759,1.5665065536047238,3702.8122859311643
6.17,179.0,4.0,151.50685486142203,176.5457375151341,3720.3123290113454,1.004726149134449,1.3578440936087364,1.5665065536047238,3702.8122859311643
6.55,180.0,5.0,151.08717523337316,177.6750941222228,3485.089239694658,0.9412006255181379,1.3829226992613728,1.5665065536047238,3702.8122859311643
6.92,181.0,4.0,151.7495701806104,179.64511017891803,3327.7358453757224,0.8987049810813946,1.4014443650920707,1.5665065536047238,3702.8122859311643
7.3,179.0,4.0,150.07539048758127,179.66512116253634,3085.290798630137,0.8332290595320481,1.4332058928479985,1.5665065536047238,3702.8122859311643
7.58,179.0,2.0,147.84157128494002,178.829059820712,2883.5264116094986,0.7787395603513193,1.4631304450187972,1.5665065536047238,3702.8122859311643
7.95,179.0,1.0,144.50052432430826,177.38369123007678,2626.465601257862,0.7093164326037046,1.5069142166255656,1.5665065536047238,3702.8122859311643
8.33,178.0,1.0,141.3512806096924,176.11184264771444,2398.5815762304924,0.647772933384688,1.5523070407184736,1.5665065536047238,3702.8122859311643
8.7,177.0,2.0,140.13303150934829,176.38394321983913,2257.157071264368,0.6095791244510116,1.584298679966148,1.5665065536047238,3702.8122859311643
9.08,176.0,2.0,138.97638299365832,176.71639111647826,2127.1404218061675,0.5744661780150827,1.616857176548338,1.5665065536047238,3702.8122859311643
9.36,173.0,3.0,137.74584233289946,176.62774683987692,2027.1278931623929,0.5474562944669017,1.644223531819696,1.5665065536047238,3702.8122859311643
9.73,172.0,2.0,135.621046596758,176.07163541654262,1890.3461747173692,0.5105163396750464,1.6854839185241093,1.5665065536047238,3702.8122859311643
10.1,172.0,2.0,133.7359289794631,175.6874097316544,1770.8216534653461,0.47823694984311876,1.7257786104639241,1.5665065536047238,3702.8122859311643
10.48,170.0,2.0,131.72302809304074,175.19913883215463,1655.6255849236638,0.44712652359240934,1.7690516889992618,1.5665065536047238,3702.8122859311643
10.76,171.0,2.0,130.2686108392962,174.84417886067357,1577.1292723048327,0.4259274169250047,1.801452402166799,1.5665065536047238,3702.8122859311643
11.13,174.0,2.0,128.179818497297,174.2095755102177,1476.1963944294696,0.3986689792615947,1.8471609572098597,1.5665065536047238,3702.8122859311643
11.51,174.0,2.0,126.41861275144574,173.8494831114537,1388.5026629018244,0.37498597165658126,1.8911447304692943,1.5665065536047238,3702.8122859311643
11.88,175.0,2.0,124.78762090047233,173.5434900093758,1310.7702297979797,0.35399316211039145,1.9340764828033152,1.5665065536047238,3702.8122859311643
12.26,174.0,2.0,123.32763976497726,173.38119755926976,1240.5959812398044,0.3350415536735278,1.9764378236033568,1.5665065536047238,3702.8122859311643
12.54,173.0,6.0,122.3669311946655,173.34384427191776,1194.0722368421052,0.3224771186427632,2.0067289231625853,1.5665065536047238,3702.8122859311643
12.91,173.0,6.0,121.15622092983918,173.32149795185018,1137.0123834237027,0.3070672493293223,2.0465079245634175,1.5665065536047238,3702.8122859311643
13.29,173.0,8.0,120.13660611986673,173.46582483619775,1085.989776523702,0.2932878289968736,2.0848611340575602,1.5665065536047238,3702.8122859311643
13.66,175.0,9.0,119.27685622114626,173.6986766048872,1041.505741581259,0.28127424810014273,2.1207069097495137,1.5665065536047238,3702.8122859311643
14.03,174.0,9.0,118.32860093823471,173.8339463675701,997.9798859586601,0.2695194379014256,2.1581902187127606,1.5665065536047238,3702.8122859311643
14.31,171.0,9.0,117.65934140560196,173.9640915169254,967.4158364779873,0.2612651578784277,2.186081759956031,1.5665065536047238,3702.8122859311643
14.69,167.0,8.0,115.96122218224504,173.4344881435461,915.3849591558883,0.247213438994435,2.2368937592994977,1.5665065536047238,3702.8122859311643
15.06,165.0,7.0,114.04512760306774,172.66315619609873,863.6315491367864,0.23323665431762625,2.2921650153465674,1.5665065536047238,3702.8122859311643
15.44,163.0,8.0,112.47578414930034,172.19075082218205,819.3524624352333,0.22127842276757131,2.34369762658785,1.5665065536047238,3702.8122859311643
15.72,162.0,8.0,111.58092744730168,172.05900836208497,792.0040311704834,0.21389256867805662,2.377797671169841,1.5665065536047238,3702.8122859311643
16.09,161.0,9.0,106.59593824344341,168.46803515083164,706.1960254816657,0.19071882962170608,2.497777265030016,1.5665065536047238,3702.8122859311643
16.47,159.0,10.0,105.30839273296313,168.16124124326726,673.336829386764,0.18184471082833642,2.549915799412487,1.5665065536047238,3702.8122859311643
16.84,158.0,10.0,104.12989661955878,167.9080553613771,643.8857108076008,0.17389099448925474,2.6001127998938998,1.5665065536047238,3702.8122859311643
17.21,157.0,10.0,102.97442896175728,167.6545140970359,616.137886112725,0.1663972782130331,2.6507679931301418,1.5665065536047238,3702.8122859311643
17.5,157.0,10.0,102.0751753366116,167.44691980268078,595.3909382857142,0.16079425374813144,2.6910022256862955,1.5665065536047238,3702.8122859311643
17.87,157.0,9.0,100.98455139277493,167.2167529171243,570.6703760492446,0.15411809510773927,2.741887872583712,1.5665065536047238,3702.8122859311643
18.24,160.0,11.0,99.95515104285522,167.0233700305387,547.7539594298247,0.14792917305341563,2.7921845833421055,1.5665065536047238,3702.8122859311643
18.62,159.0,12.0,98.92713571108789,166.83192522497347,525.5949613319012,0.14194480323209993,2.8439859941190537,1.5665065536047238,3702.8122859311643
18.9,160.0,14.0,98.17518102860825,166.68444561910766,509.96646402116414,0.13772409310587572,2.8826155721109377,1.5665065536047238,3702.8122859311643
19.27,158.0,16.0,97.29629335180246,166.58066448572376,491.25940321743644,0.132671970729917,2.931275170538324,1.5665065536047238,3702.8122859311643
19.65,155.0,18.0,96.48628788589599,166.54590341865074,473.7711832061069,0.12794901459255728,2.979454194872101,1.5665065536047238,3702.8122859311643
20.02,157.0,19.0,95.36404238495766,166.17776583053043,454.2607682317683,0.12267993437251251,3.0365226675217944,1.5665065536047238,3702.8122859311643
20.4,154.0,21.0,94.30083255199818,165.86532780457304,435.9140696078432,0.11772513320864218,3.0937140432813974,1.5665065536047238,3702.8122859311643
