Galaxy,Is_Golden,M_bary,V_flat,Res_New_Mean,Res_Old_Mean,Chi2_New,Chi2_Old
F568-3,False,48906,114.7,-0.04354,-0.04262,1572421,1574508
F571-8,False,25867,139.7,-0.12358,-0.11882,82439024,77491411
NGC0055,False,30802,86.7,-0.19973,-0.19839,5270678,5178309
NGC0247,False,33806,107.0,-0.01797,-0.01689,647110,645035
NGC0300,False,12883,92.9,0.03422,0.03537,975632,982486
NGC0801,False,1016310,215.3,-0.09135,-0.08216,77925831,79549189
NGC1003,False,57252,113.3,-0.05636,-0.05526,3882897,3688981
NGC2403,True,55226,135.0,0.03052,0.03506,10374404,12187005
NGC2683,False,189276,155.3,-0.04366,-0.03883,787162,1450557
NGC2841,True,749985,290.0,0.16478,0.17278,645357565,735888050
NGC2903,True,202196,179.7,-0.07118,-0.06147,4454934396,4039518107
NGC2915,False,5374,86.0,0.15642,0.15767,41744653,40566699
NGC2998,False,533220,209.7,0.10163,0.10804,513934506,525728796
NGC3109,False,2943,66.6,0.00404,0.00444,467046,468331
NGC3198,True,184597,149.7,-0.07326,-0.06934,80562668,74318759
NGC3521,True,224301,206.0,0.00093,0.01604,42817258,91835853
NGC3726,False,210563,168.0,-0.13307,-0.12888,11271803,10271179
NGC3741,False,1305,50.6,-0.00921,-0.00883,559038,551919
NGC3769,False,77643,117.3,-0.10758,-0.10442,11159053,9821384
NGC3877,False,214735,170.0,-0.11143,-0.10351,62708013,58283490
NGC3893,False,173305,174.0,-0.00071,0.00644,8371781,5516925
NGC3917,False,73053,137.3,-0.02409,-0.0215,2928184,2932719
NGC3949,False,100511,165.0,-0.05085,-0.04016,8360915,5625240
NGC3953,False,397240,220.7,-0.00472,0.00416,2447251,3289236
NGC3972,False,45117,132.7,0.01708,0.02063,2241420,2259814
NGC3992,False,618568,240.7,0.0473,0.05115,5453502,5992562
NGC4013,False,208107,174.0,-0.05475,-0.05088,7532143,6132093
NGC4051,False,192771,156.0,-0.12445,-0.11669,12513250,10059376
NGC4085,False,63908,133.0,-0.19303,-0.18404,50287150,45678308
NGC4088,False,303749,170.0,-0.19847,-0.19082,51588859,45437178
NGC4100,False,160587,158.3,0.02002,0.02462,7400258,8574062
NGC4138,False,114910,147.3,-0.0179,-0.01177,4796659,3320470
NGC4157,False,291301,185.0,-0.10492,-0.09877,36175297,30101660
NGC4183,False,52405,111.7,-0.03958,-0.03797,1301160,1324335
NGC4217,False,265636,177.3,-0.24348,-0.23274,1108189911,978366566
NGC4559,False,100623,120.0,-0.13551,-0.13253,14247944,13135696
NGC5033,False,349635,194.0,-0.01114,-0.00529,671673117,524426219
NGC5055,True,421306,175.0,-0.1268,-0.11883,205943113,148138685
NGC5585,False,18229,90.0,-0.11477,-0.11229,11718558,11214438
NGC5907,False,598357,215.3,-0.01445,-0.0108,17324822,18564039
NGC5985,False,673805,288.3,0.23805,0.24369,469375592,484215428
NGC6015,False,114155,153.7,0.04345,0.04752,47402428,51167276
NGC6195,False,1101127,248.3,-0.11424,-0.103,176674979,131432193
NGC6503,True,43203,116.0,-0.00635,-0.00372,8999027,8566355
NGC6674,False,637065,243.3,0.06091,0.06475,33164076,38364811
NGC6946,True,181409,155.3,-0.08659,-0.07946,6989519318,6361897807
NGC7331,True,666828,238.7,-0.08883,-0.07997,324193675,237418457
NGC7793,True,25170,95.4,-0.04929,-0.04299,58958054,56381604
UGC02885,True,1564662,298.0,0.02208,0.02742,393008384,459683953
UGC06399,False,11725,85.8,0.01093,0.01205,280933,284040
UGC06446,False,13572,82.5,0.08871,0.08964,3729080,3762160
UGC06614,False,572649,203.7,-0.12414,-0.11928,34894134,27751039
UGC06667,False,6957,84.9,0.27334,0.27377,2739731,2745506
UGC06786,False,209840,215.0,0.11799,0.12732,9311662445,9935472212
UGC06818,False,7266,71.2,-0.21384,-0.21266,2849050,2813777
UGC06917,False,33190,108.7,0.02114,0.02301,427869,433656
UGC06923,False,11845,79.6,-0.11223,-0.10935,2937216,2790011
UGC06930,False,48747,108.0,-0.05238,-0.05084,669028,657128
UGC06983,False,37738,108.3,0.04058,0.04199,2376362,2409137
UGC07089,False,15865,76.8,-0.20777,-0.20657,2609206,2570924
